"id","name","authority_type","region","councillors_current","mayors_current","governing_body_elected_total","election_year","source_url","notes"
"farnorth","Far North","territorial authority","Northland","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"whangarei","Whangārei","territorial authority","Northland","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"kaipara","Kaipara","territorial authority","Northland","8","1","9","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"auckland","Auckland","territorial authority","Auckland","20","1","21","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"thames","Thames-Coromandel","territorial authority","Waikato","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"hauraki","Hauraki","territorial authority","Waikato","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"waikatod","Waikato District","territorial authority","Waikato","13","1","14","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"matamata","Matamata-Piako","territorial authority","Waikato","12","1","13","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"hamilton","Hamilton City","territorial authority","Waikato","14","1","15","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"waipa","Waipā","territorial authority","Waikato","11","1","12","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"otorohanga","Ōtorohanga","territorial authority","Waikato","9","1","10","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
"swaikato","South Waikato","territorial authority","Waikato","10","1","11","2025","https://www.mcert.govt.nz/our-work/local-government/local-elections-and-voting/local-authority-election-statistics/local-authority-election-statistics-2025/",""
