id,name,region,population_2024,land_area_km2,rates_revenue_2023_24_nzd_excl_gst,rates_revenue_2025_26_forecast_nzd_excl_gst,residential_properties,residential_properties_flag,avg_residential_bill_2024_25_nzd_incl_gst,rating_units,rating_units_status,notes
farnorth,"Far North","Northland",73500,6687,103039000,122142000,32538,,3276.19,40045,actual,""
whangarei,"Whangārei","Northland",100500,2711,127432000,162152000,41319,,3112.65,46203,older,""
kaipara,"Kaipara","Northland",26800,3109,45682000,55604000,13368,,3181.0,16936,actual,""
auckland,"Auckland","Auckland",1797300,4940,2523000000,3035235000,609774,,3520.0,630000,proxy,""
thames,"Thames-Coromandel","Waikato",32400,2208,94354000,117517000,26829,,4266.86,28650,actual,""
hauraki,"Hauraki","Waikato",21900,1270,39359000,51940000,9729,,3753.94,11960,actual,""
waikatod,"Waikato District","Waikato",90600,4404,130394000,156832000,31869,,4409.74,37739,actual,""
matamata,"Matamata-Piako","Waikato",39100,1755,50741000,62249000,15162,,3346.08,16660,actual,""
hamilton,"Hamilton City","Waikato",189700,110,255719000,353949000,65403,,3620.0,65076,actual,""
waipa,"Waipā","Waikato",61400,1470,81073000,114179000,23379,,3895.81,25609,actual,""
otorohanga,"Ōtorohanga","Waikato",10750,1999,15714000,19161000,4416,,2554.36,5619,actual,""
swaikato,"South Waikato","Waikato",25900,1819,39895000,47649000,9912,,3736.34,10440,actual,""
waitomo,"Waitomo","Waikato",9950,3535,22502000,25738000,4407,,3621.96,5955,actual,""
taupo,"Taupō","Waikato",42200,6333,92833000,118089000,22044,,4090.0,25628,actual,""
wbop,"Western Bay of Plenty","Bay of Plenty",60800,1944,89024000,113112000,23895,,,24970,actual,""
tauranga,"Tauranga City","Bay of Plenty",161300,142,295016000,367996000,61587,,4534.04,62101,actual,""
rotorua,"Rotorua Lakes","Bay of Plenty",77100,2409,128139000,159928000,29658,,4031.59,31254,actual,""
whakatane,"Whakatāne","Bay of Plenty",38300,4444,59049000,79144000,14928,,4508.0,17166,actual,""
kawerau,"Kawerau","Bay of Plenty",7670,29,13057847,15811000,2823,,3130.37,3006,older,""
opotiki,"Ōpōtiki","Bay of Plenty",10300,3090,14814000,17218000,4713,,3163.49,5599,projected,""
gisborne,"Gisborne","Gisborne",53000,8385,76965000,94904000,19314,,3786.0,23847,older,""
wairoa,"Wairoa","Hawke's Bay",8920,4079,19141000,23437000,4260,,3420.97,6958,projected,""
hastings,"Hastings","Hawke's Bay",89200,5227,112761000,155043000,32614,,4368.0,32575,projected,""
napier,"Napier City","Hawke's Bay",66800,105,85724000,111890000,26739,,3558.83,26857,proxy,""
chb,"Central Hawke's Bay","Hawke's Bay",16050,3333,27622000,36067000,6867,,3697.0,8395,proxy,""
newplymouth,"New Plymouth","Taranaki",90300,2205,132257000,162300000,36060,,3663.87,38466,actual,""
stratford,"Stratford","Taranaki",10400,2163,16219000,19938000,4302,,3664.37,5469,actual,""
staranaki,"South Taranaki","Taranaki",29900,3575,48312000,57414000,12378,,2975.71,14806,actual,""
ruapehu,"Ruapehu","Manawatū-Whanganui",13550,6734,28731000,34373000,7602,,4001.78,10196,actual,""
whanganui,"Whanganui","Manawatū-Whanganui",48900,2373,76562000,88001000,20544,,3861.48,21801,projected,""
rangitikei,"Rangitīkei","Manawatū-Whanganui",16200,4484,28890000,35573000,6960,,3440.0,8884,actual,""
manawatu,"Manawatū","Manawatū-Whanganui",33700,2567,47102000,54555000,13139,,3791.48,15580,actual,""
palmy,"Palmerston North","Manawatū-Whanganui",91300,395,124714000,145900000,33987,,3648.0,34932,actual,""
tararua,"Tararua","Manawatū-Whanganui",19050,4365,33761000,41504000,8190,,3738.0,10451,draft,""
horowhenua,"Horowhenua","Manawatū-Whanganui",38200,1064,52533000,68694000,17109,,4402.0,19649,actual,""
kapiti,"Kāpiti Coast","Wellington",57700,732,87643000,114024000,26208,,4357.0,26195,actual,""
porirua,"Porirua City","Wellington",61800,175,96417000,122653000,20580,,5591.0,20139,actual,""
upperhutt,"Upper Hutt City","Wellington",47500,540,53506000,75739000,17850,,3392.95,18129,actual,""
hutt,"Hutt City","Wellington",113400,376,156488000,208411000,42348,,4004.47,42916,actual,""
wellington,"Wellington City","Wellington",209900,290,483252000,628974000,84678,,5093.73,82547,actual,""
masterton,"Masterton","Wellington",28700,2300,41025706,49663000,12453,,3378.0,13822,actual,""
carterton,"Carterton","Wellington",10300,1180,17755000,20641000,4626,,4770.53,5331,actual,""
swairarapa,"South Wairarapa","Wellington",12250,2388,25966000,31027000,6258,,4494.0,7546,actual,""
tasman,"Tasman","Nelson-Tasman",59800,9616,100049000,121655000,25755,,4240.68,28036,draft,""
nelson,"Nelson City","Nelson-Tasman",54400,422,84741000,106060000,22626,,4650.0,23237,actual,""
marlborough,"Marlborough","Marlborough",51600,10458,88218000,109456000,24324,,3828.0,27497,actual,""
buller,"Buller","West Coast",10600,7943,16360000,23195000,6054,,3089.61,7570,older,"2023/24 actual unavailable; 2021/22 shown"
grey,"Grey District","West Coast",14400,3474,21483000,29361000,6888,,2702.89,9234,actual,""
westland,"Westland","West Coast",9270,11829,18891000,25984000,5007,,,6685,projected,""
kaikoura,"Kaikōura","Canterbury",4380,2049,9625000,11730000,2466,,4019.42,3340,actual,""
hurunui,"Hurunui","Canterbury",14200,8641,29127000,34355000,7353,,3041.77,10271,actual,""
waimakariri,"Waimakariri","Canterbury",69000,2217,88031000,106942000,27375,,3940.0,29013,actual,""
